rowNumber,predictedValues
0,No Failure
1,No Failure
2,No Failure
3,No Failure
4,No Failure
5,No Failure
6,No Failure
7,No Failure
8,No Failure
9,No Failure
10,No Failure
11,No Failure
12,No Failure
13,No Failure
14,No Failure
15,No Failure
16,No Failure
17,Random Failures
18,No Failure
19,No Failure
20,No Failure
21,No Failure
22,No Failure
23,No Failure
24,No Failure
25,No Failure
26,No Failure
27,No Failure
28,No Failure
29,No Failure
30,No Failure
31,No Failure
32,No Failure
33,No Failure
34,No Failure
35,No Failure
36,No Failure
37,Heat Dissipation Failure
38,No Failure
39,No Failure
40,No Failure
41,Heat Dissipation Failure
42,No Failure
43,No Failure
44,No Failure
45,No Failure
46,No Failure
47,No Failure
48,No Failure
49,No Failure
50,No Failure
51,No Failure
52,No Failure
53,Tool Wear Failure
54,No Failure
55,No Failure
56,No Failure
57,No Failure
58,No Failure
59,No Failure
60,No Failure
61,No Failure
62,No Failure
63,No Failure
64,No Failure
65,No Failure
66,No Failure
67,Random Failures
68,No Failure
69,Heat Dissipation Failure
70,No Failure
71,No Failure
72,Random Failures
73,No Failure
74,No Failure
75,No Failure
76,No Failure
77,Random Failures
78,No Failure
79,No Failure
80,No Failure
81,No Failure
82,Heat Dissipation Failure
83,No Failure
84,Random Failures
85,No Failure
86,No Failure
87,Tool Wear Failure
88,No Failure
89,No Failure
90,No Failure
91,No Failure
92,Tool Wear Failure
93,No Failure
94,Tool Wear Failure
95,No Failure
96,Tool Wear Failure
97,No Failure
98,No Failure
99,No Failure
100,No Failure
101,Heat Dissipation Failure
102,No Failure
103,No Failure
104,No Failure
105,No Failure
106,No Failure
107,Tool Wear Failure
108,Random Failures
109,No Failure
110,No Failure
111,No Failure
112,No Failure
113,No Failure
114,No Failure
115,No Failure
116,No Failure
117,No Failure
118,Tool Wear Failure
119,Random Failures
120,No Failure
121,No Failure
122,No Failure
123,No Failure
124,Heat Dissipation Failure
125,Tool Wear Failure
126,No Failure
127,No Failure
128,Tool Wear Failure
129,No Failure
130,No Failure
131,No Failure
132,No Failure
133,No Failure
134,No Failure
135,No Failure
136,No Failure
137,Heat Dissipation Failure
138,No Failure
139,Tool Wear Failure
140,No Failure
141,No Failure
142,No Failure
143,Tool Wear Failure
144,No Failure
145,No Failure
146,Tool Wear Failure
147,No Failure
148,No Failure
149,No Failure
150,Random Failures
151,No Failure
152,No Failure
153,Random Failures
154,No Failure
155,Random Failures
156,No Failure
